"Databse","Correkatuib(Corr)","Attack Method"
$A_1-A_3$,0.8532,"Rotation_20°"
$A_1-A_3$,0.8405,"Compression_40%"
$A_1-A_3$,0.8345,"Simplification_70%"
$A_1-A_3$,0.8256,"Noise_40%"
$A_1-A_3$,0.8466,"Cutting_30%"
$B_1-B_3$,0.8558,"Rotation_20°"
$B_1-B_3$,0.8412,"Compression_40%"
$B_1-B_3$,0.8325,"Simplification_70%"
$B_1-B_3$,0.8244,"Noise_40%"
$B_1-B_3$,0.8485,"Cutting_30%"
$C_1-C_3$,0.8658,"Rotation_20°"
$C_1-C_3$,0.8498,"Compression_40%"
$C_1-C_3$,0.8322,"Simplification_70%"
$C_1-C_3$,0.8256,"Noise_40%"
$C_1-C_3$,0.84578,"Cutting_30%"
